# Adapted from https://github.com/nextstrain/ncov-ingest/blob/be874967dbefba13290610a9fdbb3d0603bfd044/source-data/gisaid_geoLocationRules.tsv

*/Netherlands/*/*	Europe/Netherlands/*/*
*/Costa Rica/*/*	North America/Costa Rica/*/*
*/Panama/*/*	North America/Panama/*/*
*/El Salvador/*/*	North America/El Salvador/*/*
*/Canada/*/*	North America/Canada/*/*
*/Puerto Rico/*/*	North America/Puerto Rico/*/*
*/Caribbean/*/*	North America/Caribbean/*/*
*/Brazil/*/*	North America/Brazil/*/*
*/Dominican Republic/*/*	North America/Dominican Republic/*/*
*/Saint Barthelemy/*/*	North America/Saint Barthelemy/*/*
*/Saint Barthélemy/*/*	North America/Saint Barthélemy/*/*
*/St. Lucia/*/*	North America/St. Lucia/*/*
*/Cayman Islands/*/*	North America/Cayman Islands/*/*
*/British Virgin Islands/*/*	North America/British Virgin Islands/*/*
*/México/*/*	North America/Mexico/*/*
*/Trinidad and Tobago/*/*	North America/Trinidad and Tobago/*/*
*/Martinique/*/*	North America/Martinique/*/*
*/French Guiana/*/*	North America/French Guiana/*/*
*/Guam/*/*	North America/Guam/*/*
*/Honduras/*/*	North America/Honduras/*/*
*/Guatemala/*/*	North America/Guatemala/*/*
*/Turks and Caicos Islands/*/*	North America/Turks and Caicos Islands/*/*
*/Guadeloupe/*/*	North America/Guadeloupe/*/*
*/Anguilla/*/*	North America/Anguilla/*/*
*/Barbados/*/*	North America/Barbados/*/*
*/Dominica/*/*	North America/Dominica/*/*
*/Grenada/*/*	North America/Grenada/*/*
*/Jamaica/*/*	North America/Jamaica/*/*
*/Saint Kitts and Nevis/*/*	North America/Saint Kitts and Nevis/*/*
*/Montserrat/*/*	North America/Montserrat/*/*
*/Saint Lucia/*/*	North America/Saint Lucia/*/*
*/Saint Vincent and the Grenadines/*/*	North America/Saint Vincent and the Grenadines/*/*
*/The Bahamas/*/*	North America/The Bahamas/*/*
*/Bahamas/*/*	North America/Bahamas/*/*
*/U.S. Virgin Islands/*/*	North America/U.S. Virgin Islands/*/*
*/Belize/*/*	North America/Belize/*/*
*/Haiti/*/*	North America/Haiti/*/*
*/Cuba/*/*	North America/Cuba/*/*

*/Nicaragua/*/*	North America/Nicaragua/*/*


*/Brazil/*/*	South America/Brazil/*/*
*/Argentina/*/*	South America/Argentina/*/*
*/Ecuador/*/*	South America/Ecuador/*/*
*/Chile/*/*	South America/Chile/*/*
*/Colombia/*/*	South America/Colombia/*/*
*/Peru/*/*	South America/Peru/*/*
*/St Eustatius/*/*	South America/St Eustatius/*/*
*/Trinidad/*/*	South America/Trinidad/*/*
*/Uruguay/*/*	South America/Uruguay/*/*
*/Bolivia/*/*	South America/Bolivia/*/*
*/Guyane Francaise/*/*	South America/Guyane Francaise/*/*
*/French Guiana/*/*	South America/French Guiana/*/*
*/Guyane/*/*	South America/Guyane/*/*
*/Grenada/*/*	South America/Grenada/*/*
*/Guyana/*/*	South America/Guyana/*/*
*/Trinidad and Tobago/*/*	South America/Trinidad and Tobago/*/*
*/Paraguay/*/*	South America/Paraguay/*/*
*/Antigua/*/*	South America/Antigua/*/*
*/Anguilla/*/*	South America/Anguilla/*/*
*/British Virgin Islands/*/*	South America/British Virgin Islands/*/*
*/Bermuda/*/*	South America/Bermuda/*/*
*/Saint Lucia/*/*	South America/Saint Lucia/*/*
*/Martinique/*/*	South America/Martinique/*/*
*/Saint Vincent and the Grenadines/*/*	South America/Saint Vincent and the Grenadines/*/*
*/Barbados/*/*	South America/Barbados/*/*
*/Jamaica/*/*	South America/Jamaica/*/*
*/Montserrat/*/*	South America/Montserrat/*/*
*/Venezuela/*/*	South America/Venezuela/*/*
*/Dominica/*/*	South America/Dominica/*/*
*/Turks and Caicos Islands/*/*	South America/Turks and Caicos Islands/*/*
*/Antigua and Barbuda/*/*	South America/Antigua and Barbuda/*/*
*/Saint Kitts and Nevis/*/*	South America/Saint Kitts and Nevis/*/*
*/Espirito Santo/*/*	South America/Espirito Santo/*/*
*/Parana/*/*	South America/Parana/*/*
*/Rio de Janeiro/*/*	South America/Rio de Janeiro/*/*
*/Santa Catarina/*/*	South America/Santa Catarina/*/*
*/Amazonas/*/*	South America/Amazonas/*/*
*/Honduras/*/*	South America/Honduras/*/*
*/Monsterrat/*/*	South America/Monsterrat/*/*
*/St Lucia/*/*	South America/St Lucia/*/*
*/Brasil/*/*	South America/Brasil/*/*

*/Australia/*/*	Oceania/Australia/*/*
*/New Zealand/*/*	Oceania/New Zealand/*/*
*/Polynesia/*/*	Oceania/Polynesia/*/*
*/Northern Mariana Islands/*/*	Oceania/Northern Mariana Islands/*/*
*/French Polynesia/*/*	Oceania/French Polynesia/*/*
*/Guam/*/*	Oceania/Guam/*/*
*/Wallis and Futuna/*/*	Oceania/Wallis and Futuna/*/*
*/Wallis and Futuna Islands/*/*	Oceania/Wallis and Futuna Islands/*/*
*/Palau/*/*	Oceania/Palau/*/*
*/American Samoa/*/*	Oceania/American Samoa/*/*
*/New Caledonia/*/*	Oceania/New Caledonia/*/*

*/Kiribati/*/*	Oceania/Kiribati/*/*
*/Papua New Guinea/*/*	Oceania/Papua New Guinea/*/*
*/Vanuatu/*/*	Oceania/Vanuatu/*/*
*/Samoa/*/*	Oceania/Samoa/*/*
*/Tonga/*/*	Oceania/Tonga/*/*
*/Fiji/*/*	Oceania/Fiji/*/*
*/Kiribati/*/*	Oceania/Kiribati/*/*

*/Senegal/*/*	Africa/Senegal/*/*
*/South Africa/*/*	Africa/South Africa/*/*
*/Democratic Republic of the Congo/*/*	Africa/Democratic Republic of the Congo/*/*
*/Madagascar/*/*	Africa/Madagascar/*/*
*/Egypt/*/*	Africa/Egypt/*/*
*/Cameroon/*/*	Africa/Cameroon/*/*
*/Reunion/*/*	Africa/Reunion/*/*
*/Nigeria/*/*	Africa/Nigeria/*/*
*/Côte D'Ivoire/*/*	Africa/Côte D'Ivoire/*/*
*/Equatorial Guinea/*/*	Africa/Equatorial Guinea/*/*
*/Tunisia/*/*	Africa/Tunisia/*/*
*/Burkina Faso/*/*	Africa/Burkina Faso/*/*
*/Morocco/*/*	Africa/Morocco/*/*
*/Mayotte/*/*	Africa/Mayotte/*/*
*/Mosambik/*/*	Africa/Mosambik/*/*
*/Gaborone/*/*	Africa/Gaborone/*/*
*/Cotedivoire/*/*	Africa/Cotedivoire/*/*
*/Ivory Coast/*/*	Africa/Ivory Coast/*/*
*/Côte d'Ivoire/*/*	Africa/Côte d'Ivoire/*/*
*/Côte D’Ivoire/*/*	Africa/Côte D’Ivoire/*/*
*/Cote Divoire/*/*	Africa/Cote Divoire/*/*
*/Togo/*/*	Africa/Togo/*/*
*/Mozambique/*/*	Africa/Mozambique/*/*
*/Réunion/*/*	Africa/Réunion/*/*
*/Namibia/*/*	Africa/Namibia/*/*
*/Ghana/*/*	Africa/Ghana/*/*
*/La Reunion/*/*	Africa/La Reunion/*/*
*/Lesotho/*/*	Africa/Lesotho/*/*
*/Cote D'Ivoire/*/*	Africa/Cote D'Ivoire/*/*
*/Malawi/*/*	Africa/Malawi/*/*
*/Comoros/*/*	Africa/Comoros/*/*
*/Angola/*/*	Africa/Angola/*/*
*/Uganda/*/*	Africa/Uganda/*/*
*/Zambia/*/*	Africa/Zambia/*/*
*/Botswana/*/*	Africa/Botswana/*/*
*/Congo/*/*	Africa/Congo/*/*
*/Guyane/*/*	Africa/Guyane/*/*
*/Mauritius/*/*	Africa/Mauritius/*/*
*/Somalia/*/*	Africa/Somalia/*/*
*/Burkinafaso/*/*	Africa/Burkinafaso/*/*
*/Niogeria/*/*	Africa/Niogeria/*/*
*/Kenya/*/*	Africa/Kenya/*/*
*/Canary Islands/*/*	Africa/Canary Islands/*/*
*/Sierra Leone/*/*	Africa/Sierra Leone/*/*
*/Djibouti/*/*	Africa/Djibouti/*/*
*/Democratic Republic of Congo/*/*	Africa/Democratic Republic of Congo/*/*
*/Cabo Verde/*/*	Africa/Cabo Verde/*/*
*/Guinea/*/*	Africa/Guinea/*/*
*/Algeria/*/*	Africa/Algeria/*/*
*/Liberia/*/*	Africa/Liberia/*/*
*/Zimbabwe/*/*	Africa/Zimbabwe/*/*
*/Gabon/*/*	Africa/Gabon/*/*
*/Eswatini/*/*	Africa/Eswatini/*/*
*/Rwanda/*/*	Africa/Rwanda/*/*
*/Ethiopia/*/*	Africa/Ethiopia/*/*
*/Benin/*/*	Africa/Benin/*/*
*/Sudan/*/*	Africa/Sudan/*/*
*/Republic of the Congo/*/*	Africa/Republic of the Congo/*/*
*/Seychelles/*/*	Africa/Seychelles/*/*
*/Niger/*/*	Africa/Niger/*/*
*/Cote d'Ivoire/*/*	Africa/Cote d'Ivoire/*/*

*/Tanzania/*/*	Africa/Tanzania/*/*
*/Cape Verde/*/*	Africa/Cape Verde/*/*
*/Mali/*/*	Africa/Mali/*/*
*/Gambia/*/*	Africa/Gambia/*/*
*/Central African Republic/*/*	Africa/Central African Republic/*/*
